iteration,category
0,Explore
1,Reproduce
2,Run tests
3,Explore
4,Explore
5,Explore
6,Run tests
7,Reproduce
8,Explore
9,Reproduce
10,Run tests
11,Reproduce
12,Explore
13,Reproduce
14,Run tests
15,Reproduce
16,Explore
17,Reproduce
18,Run tests
19,Reproduce
20,Explore
21,Reproduce
22,Run tests
23,Reproduce
24,Explore
25,Explore
26,Explore
27,Reproduce
28,Reproduce
29,Explore
30,Explore
31,Explore
32,Explore
33,Reproduce
34,Explore
35,Reproduce
36,Run tests
37,Locate
38,Search
39,Search
40,Search
41,Locate
42,Search
43,Locate
44,Search
45,Locate
46,Generate Fix
47,Run tests
