iteration,category
0,Explore
1,Reproduce
2,Run tests
3,Explore
4,Search
5,Explore
6,Search
7,Explore
8,Generate Fix
9,Search
10,Explore
11,Generate Fix
12,Run tests
13,Generate Fix
14,Generate Fix
15,Generate Fix
16,Run tests
17,Explore
18,Search
19,Explore
20,Explore
21,Explore
22,Generate Fix
23,Run tests
24,Explore
25,Search
26,Explore
27,Generate Fix
28,Run tests
29,Generate Fix
30,Generate Fix
31,Search
32,Explore
33,Explore
34,Explore
35,Explore
36,Generate Fix
37,Generate Fix
38,Run tests
39,Explore
40,Generate Fix
41,Run tests
42,Reproduce
43,Run tests
