iteration,category
0,Explore
1,Reproduce
2,Run tests
3,Explore
4,Explore
5,Generate Fix
6,Run tests
7,Explore
8,Explore
9,Search
10,Generate Fix
11,Explore
12,Run tests
13,Explore
14,Generate Fix
15,Run tests
16,Generate Fix
17,Run tests
18,Generate Fix
19,Run tests
20,Explore
21,Generate Fix
22,Run tests
23,Generate Fix
24,Run tests
25,Generate Fix
26,Run tests
27,Generate Fix
28,Run tests
29,Generate Fix
30,Generate Fix
31,Run tests
32,Search
33,Generate Fix
34,Run tests
35,Generate Fix
36,Run tests
37,Generate Fix
38,Run tests
39,Generate Fix
40,Run tests
41,Generate Fix
42,Run tests
43,Generate Fix
44,Run tests
45,Generate Fix
46,Run tests
47,Generate Fix
48,Run tests
49,Generate Fix
50,Run tests
51,Generate Fix
52,Run tests
53,Generate Fix
54,Run tests
55,Generate Fix
56,Run tests
57,Generate Fix
58,Run tests
59,Generate Fix
60,Run tests
61,Generate Fix
62,Run tests
63,Generate Fix
64,Run tests
65,Generate Fix
66,Run tests
67,Generate Fix
68,Run tests
69,Generate Fix
70,Run tests
71,Generate Fix
72,Run tests
73,Generate Fix
74,Run tests
75,Generate Fix
76,Run tests
77,Generate Fix
78,Run tests
79,Generate Fix
80,Run tests
81,Generate Fix
82,Run tests
83,Generate Fix
84,Run tests
85,Generate Fix
86,Run tests
87,Generate Fix
88,Run tests
89,Generate Fix
90,Run tests
91,Generate Fix
92,Run tests
