iteration,category
0,Explore
1,Explore
2,Reproduce
3,Run tests
4,Search
5,Explore
6,Search
7,Explore
8,Search
9,Explore
10,Explore
11,Search
12,Explore
13,Explore
14,Explore
15,Search
16,Explore
17,Reproduce
18,Run tests
19,Explore
20,Explore
21,Explore
22,Explore
23,Explore
24,Explore
25,Reproduce
26,Generate Fix
27,Search
28,Explore
29,Explore
30,Generate Fix
31,Run tests
32,Generate Fix
33,Search
34,Explore
35,Explore
36,Explore
37,Explore
38,Explore
39,Generate Fix
40,Search
41,Explore
42,Explore
43,Explore
44,Explore
45,Explore
46,Generate Fix
47,Explore
48,Explore
49,Explore
50,Explore
51,Generate Fix
52,Run tests
53,Generate Fix
54,Run tests
55,Generate Fix
56,Run tests
57,Refactor
58,Generate Fix
59,Run tests
60,Refactor
61,Run tests
62,Generate Fix
63,Run tests
64,Generate Fix
65,Explore
66,Generate Fix
67,Generate Fix
68,Run tests
69,Generate Fix
70,Run tests
71,Generate Fix
72,Run tests
73,Generate Fix
74,Generate Fix
75,Run tests
76,Generate Fix
77,Run tests
78,Generate Fix
79,Reproduce
80,Run tests
81,Generate Fix
82,Run tests
83,Generate Fix
84,Generate Fix
85,Run tests
86,Generate Fix
87,Generate Fix
88,Refactor
89,Refactor
90,Generate Fix
91,Generate Fix
92,Run tests
93,Generate Fix
94,Refactor
95,Generate Fix
96,Run tests
97,Generate Fix
98,Refactor
99,Generate Fix
