iteration,category
0,Explore
1,Explain
2,Explore
3,Generate Fix
4,Generate Fix
5,Generate Fix
6,Explain
7,Explore
8,Explain
9,Search
10,Explore
11,Generate Fix
12,Explain
13,Explain
14,Search
15,Explore
16,Generate Fix
17,Explore
18,Generate Fix
19,Explain
20,Explore
21,Explore
22,Explore
23,Explain
24,Explore
25,Explore
26,Generate Fix
27,Explain
28,Explore
29,Explore
30,Generate Fix
31,Explore
32,Explain
33,Explore
34,Explore
35,Generate Fix
36,Explore
37,Generate Fix
38,Explore
