iteration,category
0,Explore
1,Explore
2,Explore
3,Explain
4,Explore
5,Search
6,Explore
7,Explore
8,Explore
9,Explore
10,Explore
11,Explore
12,Explore
13,Explore
14,Search
15,Explain
16,Search
17,Explore
18,Explore
19,Search
20,Explore
21,Explore
22,Explore
23,Explore
24,Explore
25,Search
26,Explore
27,Search
28,Explore
29,Explore
30,Explore
31,Explore
32,Generate Fix
41,Generate Fix
42,Generate Fix
43,Search
44,Explore
45,Explore
46,Search
47,Generate Fix
48,Explore
49,Search
50,Explore
51,Explore
52,Explore
53,Explore
54,Explore
55,Explore
56,Search
57,Explore
58,Explore
59,Generate Fix
60,Explore
61,Explore
62,Explore
63,Explore
64,Generate Fix
65,Search
66,Explore
67,Search
68,Explore
69,Explore
70,Explore
71,Explore
72,Explore
73,Explore
74,Explore
75,Search
76,Explore
77,Explore
