iteration,category
0,Explore
1,Explain
2,Search
3,Explore
4,Explore
5,Generate Fix
6,Generate Fix
7,Generate Fix
8,Generate Fix
9,Generate Fix
10,Generate Fix
11,Generate Fix
12,Generate Fix
13,Generate Fix
14,Generate Fix
15,Generate Fix
16,Generate Fix
17,Search
18,Generate Fix
19,Generate Fix
20,Generate Fix
21,Explore
22,Explore
23,Generate Fix
24,Generate Fix
25,Generate Fix
26,Explore
27,Search
28,Explore
29,Generate Fix
30,Generate Fix
31,Generate Fix
32,Generate Fix
33,Generate Fix
34,Generate Fix
