iteration,category
0,Explore
1,Explore
2,Explain
3,Search
4,Explore
5,Generate Fix
6,Generate Fix
7,Explain
8,Explore
9,Explore
10,Generate Fix
11,Explain
12,Search
13,Search
14,Explore
15,Generate Fix
16,Generate Fix
17,Explain
18,Explore
19,Explore
20,Explain
21,Search
22,Search
23,Explore
24,Generate Fix
25,Generate Fix
26,Explain
27,Explore
28,Explore
29,Generate Fix
30,Generate Fix
31,Generate Fix
32,Explain
33,Generate Fix
34,Explain
35,Search
36,Explore
37,Generate Fix
38,Generate Fix
