iteration,category
0,Explore
1,Explain
2,Search
3,Search
4,Search
5,Locate
6,Explore
7,Generate Fix
8,Generate Fix
9,Explain
10,Explore
11,Explain
12,Explore
13,Locate
14,Generate Fix
15,Generate Fix
16,Locate
17,Locate
18,Generate Fix
19,Generate Fix
20,Generate Fix
21,Explore
22,Locate
23,Generate Fix
24,Generate Fix
25,Generate Fix
26,Generate Fix
27,Generate Fix
28,Generate Fix
29,Generate Fix
30,Explore
31,Search
32,Generate Fix
33,Locate
34,Generate Fix
35,Generate Fix
36,Generate Fix
37,Generate Fix
