iteration,category
0,Explore
1,Explore
2,Explain
3,Search
4,Locate
5,Explore
6,Locate
7,Generate Fix
8,Generate Fix
9,Generate Fix
10,Generate Fix
11,Search
12,Locate
13,Explore
14,Locate
15,Generate Fix
16,Generate Fix
17,Generate Fix
18,Locate
19,Generate Fix
20,Search
21,Search
22,Locate
23,Search
24,Search
25,Search
26,Search
27,Explore
28,Locate
29,Generate Fix
30,Generate Fix
31,Generate Fix
32,Generate Fix
33,Generate Fix
34,Generate Fix
35,Generate Fix
36,Generate Fix
37,Generate Fix
38,Generate Fix
