iteration,category
0,Explore
1,Explain
2,Search
3,Explore
4,Explore
5,Generate Fix
6,Generate Fix
7,Generate Fix
8,Explain
9,Explore
10,Explain
11,Explore
12,Generate Fix
13,Generate Fix
14,Generate Fix
15,Explain
16,Explore
17,Generate Fix
18,Explain
19,Search
20,Explore
21,Generate Fix
22,Generate Fix
23,Generate Fix
24,Explain
25,Explore
26,Generate Fix
27,Explore
28,Explore
29,Explore
30,Generate Fix
31,Generate Fix
32,Explain
33,Search
34,Explore
35,Explore
36,Explore
37,Generate Fix
38,Generate Fix
