iteration,category
0,Explore
1,Explore
2,Explain
3,Search
4,Locate
5,Generate Fix
6,Generate Fix
7,Generate Fix
8,Generate Fix
9,Search
10,Explore
11,Locate
12,Generate Fix
13,Generate Fix
14,Generate Fix
15,Generate Fix
16,Generate Fix
17,Generate Fix
18,Generate Fix
19,Generate Fix
20,Generate Fix
21,Generate Fix
22,Generate Fix
23,Generate Fix
24,Generate Fix
25,Generate Fix
26,Generate Fix
27,Generate Fix
28,Generate Fix
29,Generate Fix
30,Generate Fix
31,Generate Fix
32,Generate Fix
33,Search
34,Locate
35,Generate Fix
36,Generate Fix
37,Generate Fix
38,Generate Fix
