iteration,category
0,Explore
1,Explain
2,Search
3,Explore
4,Explore
5,Generate Fix
6,Generate Fix
7,Generate Fix
8,Explain
9,Explore
10,Explain
11,Explore
12,Generate Fix
13,Generate Fix
14,Explore
15,Generate Fix
16,Generate Fix
17,Explore
18,Generate Fix
19,Generate Fix
20,Explain
21,Explore
22,Generate Fix
23,Explain
24,Explore
25,Generate Fix
26,Generate Fix
27,Explain
28,Explore
29,Explore
30,Explore
31,Generate Fix
32,Explore
33,Generate Fix
34,Explain
35,Explore
36,Explore
37,Generate Fix
38,Generate Fix
