iteration,category
0,Explore
1,Explore
2,Explain
3,Search
4,Search
5,Explore
6,Generate Fix
7,Generate Fix
8,Generate Fix
9,Generate Fix
10,Generate Fix
11,Generate Fix
12,Generate Fix
13,Generate Fix
14,Generate Fix
15,Generate Fix
16,Generate Fix
17,Generate Fix
18,Search
19,Explain
20,Generate Fix
21,Search
22,Explore
23,Explore
24,Generate Fix
25,Generate Fix
26,Generate Fix
27,Generate Fix
28,Generate Fix
29,Generate Fix
30,Explore
31,Generate Fix
32,Generate Fix
33,Generate Fix
34,Generate Fix
35,Generate Fix
36,Generate Fix
37,Generate Fix
38,Explore
