iteration,category
0,Explore
1,Explain
2,Search
3,Explore
4,Explore
5,Generate Fix
6,Generate Fix
7,Generate Fix
8,Generate Fix
9,Explore
10,Search
11,Explore
12,Generate Fix
13,Generate Fix
14,Generate Fix
15,Explore
16,Generate Fix
17,Generate Fix
18,Explain
19,Explore
20,Explain
21,Search
22,Explore
23,Explore
24,Explore
25,Explore
26,Search
27,Explore
28,Explore
29,Explore
30,Explore
31,Generate Fix
32,Generate Fix
33,Generate Fix
34,Generate Fix
35,Explore
36,Search
37,Explore
38,Search
