instance_id,n_iterations,is_resolved
scikit-learn__scikit-learn-13497,4,True
django__django-15789,4,True
django__django-15814,4,True
scikit-learn__scikit-learn-13241,6,True
django__django-13315,6,True
django__django-13710,6,True
django__django-14752,4,True
django__django-15498,6,True
sphinx-doc__sphinx-8713,6,True
matplotlib__matplotlib-23964,5,True
scikit-learn__scikit-learn-25638,4,False
sympy__sympy-11870,6,False
sympy__sympy-17655,4,False
sympy__sympy-22714,17,False
pydata__xarray-5131,6,False
django__django-13448,4,False
pytest-dev__pytest-7432,4,False
django__django-13660,4,False
django__django-11133,4,False
django__django-11099,4,False
mwaskom__seaborn-3010,10,False
sympy__sympy-16792,6,False
pytest-dev__pytest-5221,6,False
sympy__sympy-15345,6,False
pydata__xarray-4094,4,False
psf__requests-2148,6,False
matplotlib__matplotlib-22835,8,False
django__django-16139,4,False
pytest-dev__pytest-8906,4,False
django__django-13551,4,False
django__django-16046,4,False
django__django-14580,8,False
sympy__sympy-20442,4,False
matplotlib__matplotlib-23913,4,False
django__django-12470,6,False
sympy__sympy-24102,6,False
matplotlib__matplotlib-24149,4,False
django__django-16041,4,False
sympy__sympy-13915,6,False
mwaskom__seaborn-3190,6,False
