instance_id,total_input_tokens,total_output_tokens,is_resolved
scikit-learn__scikit-learn-13497,7235,952,True
django__django-15789,4653,820,True
django__django-15814,9496,1089,True
scikit-learn__scikit-learn-13241,12597,1602,True
django__django-13315,19349,2521,True
django__django-13710,18481,2330,True
django__django-14752,8144,1306,True
django__django-15498,12284,2375,True
sphinx-doc__sphinx-8713,15600,1915,True
matplotlib__matplotlib-23964,16037,1326,True
scikit-learn__scikit-learn-25638,7704,1115,False
sympy__sympy-11870,15064,2126,False
sympy__sympy-17655,11279,1985,False
sympy__sympy-22714,271071,7988,False
pydata__xarray-5131,12416,1551,False
django__django-13448,18085,1760,False
pytest-dev__pytest-7432,6162,1134,False
django__django-13660,12811,1156,False
django__django-11133,6016,915,False
django__django-11099,4906,875,False
mwaskom__seaborn-3010,26997,1860,False
sympy__sympy-16792,34916,2385,False
pytest-dev__pytest-5221,10634,2165,False
sympy__sympy-15345,8044,1185,False
pydata__xarray-4094,11086,930,False
psf__requests-2148,17997,2374,False
matplotlib__matplotlib-22835,22764,2402,False
django__django-16139,7252,1268,False
pytest-dev__pytest-8906,9523,2017,False
django__django-13551,7322,1673,False
django__django-16046,4304,472,False
django__django-14580,48171,3265,False
sympy__sympy-20442,7878,1034,False
matplotlib__matplotlib-23913,11099,1800,False
django__django-12470,30955,1995,False
sympy__sympy-24102,19311,2042,False
matplotlib__matplotlib-24149,21336,2013,False
django__django-16041,8196,1162,False
sympy__sympy-13915,19008,2359,False
mwaskom__seaborn-3190,24022,2240,False
