instance_id,n_iterations,is_resolved
django__django-12700,9,True
astropy__astropy-14365,13,False
django__django-11564,15,False
django__django-11905,22,False
django__django-11283,35,False
django__django-12470,34,True
django__django-10924,32,True
django__django-12856,32,False
django__django-13925,32,False
django__django-12708,34,True
django__django-14155,18,False
django__django-14017,15,True
django__django-14534,18,False
django__django-14997,25,False
django__django-11910,50,False
django__django-15781,18,False
matplotlib__matplotlib-22711,13,False
pytest-dev__pytest-5495,12,True
pydata__xarray-3364,19,False
django__django-12308,47,False
pytest-dev__pytest-8365,12,False
mwaskom__seaborn-3407,46,False
matplotlib__matplotlib-23299,35,False
matplotlib__matplotlib-23563,27,False
pytest-dev__pytest-8906,31,False
scikit-learn__scikit-learn-13497,17,False
scikit-learn__scikit-learn-14092,15,False
scikit-learn__scikit-learn-14087,33,True
scikit-learn__scikit-learn-13142,25,True
pylint-dev__pylint-7228,99,False
sympy__sympy-14817,12,False
sympy__sympy-17655,16,True
sympy__sympy-17022,24,False
sympy__sympy-20639,16,False
sympy__sympy-21171,14,False
sympy__sympy-23117,14,True
sympy__sympy-20322,27,False
sympy__sympy-21612,25,False
sympy__sympy-13915,100,False
sphinx-doc__sphinx-11445,97,False
