instance_id,total_input_tokens,total_output_tokens,is_resolved
django__django-12700,271925,3615,True
astropy__astropy-14365,467512,3908,False
django__django-11564,727636,6568,False
django__django-11905,999125,10131,False
django__django-11283,898922,19210,False
django__django-12470,1997793,13249,True
django__django-10924,1511861,13884,True
django__django-12856,1530332,12357,False
django__django-13925,1887183,15062,False
django__django-12708,1821345,21135,True
django__django-14155,763578,9924,False
django__django-14017,510610,8361,True
django__django-14534,876172,5861,False
django__django-14997,636139,10305,False
django__django-11910,2532882,25842,False
django__django-15781,754970,8729,False
matplotlib__matplotlib-22711,239964,4501,False
pytest-dev__pytest-5495,345448,4888,True
pydata__xarray-3364,503262,9679,False
django__django-12308,2100322,22467,False
pytest-dev__pytest-8365,158878,5502,False
mwaskom__seaborn-3407,2759049,19617,False
matplotlib__matplotlib-23299,2104619,13132,False
matplotlib__matplotlib-23563,1390631,22358,False
pytest-dev__pytest-8906,1416355,11347,False
scikit-learn__scikit-learn-13497,710829,9095,False
scikit-learn__scikit-learn-14092,693663,6480,False
scikit-learn__scikit-learn-14087,1773304,13576,True
scikit-learn__scikit-learn-13142,1634392,11789,True
pylint-dev__pylint-7228,14004904,33882,False
sympy__sympy-14817,458420,4370,False
sympy__sympy-17655,637932,7978,True
sympy__sympy-17022,1297679,10121,False
sympy__sympy-20639,667408,5768,False
sympy__sympy-21171,576907,5859,False
sympy__sympy-23117,513071,5357,True
sympy__sympy-20322,2573629,16438,False
sympy__sympy-21612,1762572,6572,False
sympy__sympy-13915,19689880,60602,False
sphinx-doc__sphinx-11445,17612474,196250,False
