instance_id,n_iterations,is_resolved
experiment_391_Jsoup_26,40,False
experiment_392_Closure_85,40,False
experiment_401_Compress_25,40,False
experiment_409_Closure_3,40,False
experiment_409_Closure_80,40,False
experiment_412_Closure_22,40,False
experiment_412_Closure_45,40,False
experiment_412_Closure_117,40,False
experiment_412_Closure_145,40,False
experiment_413_Chart_6,40,False
experiment_418_Math_76,40,False
experiment_420_Math_40,40,False
experiment_420_Math_61,40,False
experiment_426_Closure_137,40,False
experiment_427_Math_28,40,False
experiment_427_Math_87,40,False
experiment_427_Math_96,40,False
experiment_432_Jsoup_74,40,False
experiment_433_Jsoup_84,40,False
experiment_433_Mockito_8,40,False
experiment_434_Jsoup_18,40,False
experiment_434_Jsoup_57,40,False
experiment_434_Jsoup_67,40,False
experiment_442_JacksonCore_9,40,False
experiment_442_Time_4,40,False
experiment_445_Closure_54,40,False
experiment_445_Closure_127,40,False
experiment_445_Closure_135,40,False
experiment_445_Closure_141,40,False
experiment_448_Closure_142,40,False
Chart_13,9,True
Chart_17,7,True
Cli_11,9,True
Compress_13,40,True
Jsoup_16,40,True
Jsoup_51,22,True
Math_65,13,True
Math_77,36,True
Math_101,10,True
Mockito_34,40,True
