instance_id,total_input_tokens,total_output_tokens,is_resolved
experiment_391_Jsoup_26,170508,4934,False
experiment_392_Closure_85,232454,6048,False
experiment_401_Compress_25,181536,4218,False
experiment_409_Closure_3,340929,5836,False
experiment_409_Closure_80,219667,6024,False
experiment_412_Closure_22,288924,4537,False
experiment_412_Closure_45,213287,6384,False
experiment_412_Closure_117,174683,5140,False
experiment_412_Closure_145,175551,5899,False
experiment_413_Chart_6,145147,5005,False
experiment_418_Math_76,399322,12267,False
experiment_420_Math_40,196679,4569,False
experiment_420_Math_61,188000,5063,False
experiment_426_Closure_137,403561,10072,False
experiment_427_Math_28,171159,4409,False
experiment_427_Math_87,155008,4582,False
experiment_427_Math_96,149209,4380,False
experiment_432_Jsoup_74,182059,5291,False
experiment_433_Jsoup_84,185155,4950,False
experiment_433_Mockito_8,142519,4612,False
experiment_434_Jsoup_18,152697,4826,False
experiment_434_Jsoup_57,108833,3915,False
experiment_434_Jsoup_67,313569,4983,False
experiment_442_JacksonCore_9,187508,6144,False
experiment_442_Time_4,163948,4557,False
experiment_445_Closure_54,300715,10797,False
experiment_445_Closure_127,401592,4986,False
experiment_445_Closure_135,182833,5703,False
experiment_445_Closure_141,278488,10040,False
experiment_448_Closure_142,323361,4427,False
Chart_13,31363,842,True
Chart_17,17534,662,True
Cli_11,33362,968,True
Compress_13,124973,3967,True
Jsoup_16,291889,8522,True
Jsoup_51,68294,2297,True
Math_65,42167,1991,True
Math_77,195209,8602,True
Math_101,24099,1005,True
Mockito_34,129007,4395,True
